sentence,ner
"PREUSMJERI Albert , kralj Ugarske",O B-PER I-PER I-PER I-PER
"Spisak općina u Hrvatskoj",B-LOC I-LOC I-LOC I-LOC
"Lančić je naseljeno mjesto u sastavu grada Ivanca , Varaždinska županija , Republika Hrvatska .",O O O O O O O B-LOC O B-LOC I-LOC O B-LOC I-LOC O
"PREUSMJERI Habsburg ( dinastija )",O B-ORG I-ORG I-ORG I-ORG
"godine kao Kraljevina Jugoslavija .",O O B-LOC I-LOC O
"Praunuka studira pravo u Sarajevu .",O O O O B-LOC I-LOC
"U 2001. pripojeno naselju Crikvenica .",O O O O B-LOC O
"George Paget Thomson , Velika Britanija",B-PER I-PER I-PER O B-LOC I-LOC
"Međunarodna pomorska organizacija",B-ORG I-ORG I-ORG
"Preusmjeri Katedrala Srca Isusova",O B-ORG I-ORG I-ORG
"Gustoća naseljenosti u Čemincu je 40 stanovnika / km2 .",O O O B-LOC O O O O O O
"S porodicom živi u San Antoniju , Texas .",O O O O B-LOC I-LOC O B-LOC O
"IF Elfsborg",B-ORG I-ORG
"Lud , zbunjen , normalan , 2010. godine",B-ORG I-ORG I-ORG I-ORG I-ORG O O O
"Ralf Schumacher , - Ricardo Zonta - no.17",B-PER I-PER O O B-PER I-PER O O
"Član Football League je bio od 1920. do 2003. godine .",O B-ORG I-ORG O O O O O O O O
"Arsenalov dugogodišnji rival je Tottenham , sa kojim se redovno takmiče u sjevernolondonskom derbiju .",O O O O B-ORG O O O O O O O O O O
"Upravo zato , vremokreti se smiju koristiti samo dozvolom Ministarstva magije , i samo s dobrim razlogom .",O O O O O O O O O B-PER I-PER O O O O O O O
"R. Standard de Liège",B-ORG I-ORG I-ORG I-ORG
"Uostalom , mislim da Kartagu treba razoriti .",O O O O B-LOC O O O
"Međunarodni fond za poljoprivredni razvoj",B-ORG I-ORG I-ORG I-ORG I-ORG
"Gimnaziju je završio u Sarajevu , a 1977. godine diplomirao na Pravnom fakultetu .",O O O O B-LOC O O O O O O B-ORG I-ORG O
"Metković , grad u Dubrovačko-neretvanskoj županiji",B-LOC O O O B-LOC I-LOC
"Kujavsko-pomeransko ( Kujawsko-Pomorskie )",B-LOC O O O
"Branko Zebec , 1965-1967 .",B-PER I-PER O O O
"Preusmjeri Ivan III , veliki knez Moskve",O B-PER I-PER I-PER I-PER I-PER I-PER
"godine pogledati pod Dubrovnik .",O O O B-LOC O
"Njegove posjede preuzeo je Sandalj Hranić Kosača .",O O O O B-PER I-PER I-PER O
"To mu je donijelo neprijateljstvo s Pavlovićima koje se odražavalo kroz čitavo vrijeme njegovog života .",O O O O O O B-PER O O O O O O O O O
"*Čitam te k'o knjigu - Boris Novković",O O O O O B-PER I-PER
"Diplomirao je na ADU u Zagrebu .",O O O O O B-LOC O
"Gustoća naseljenosti u Svetom Filipu i Jakovu je - stanovnika / km2 .",O O O B-LOC I-LOC I-LOC I-LOC O O O O O O
"godine potpisuje ugovor sa NK Čelikom iz Zenice .",O O O O B-ORG I-ORG O B-LOC O
"Povod za nerede su bile grčko-turske razmirice oko statusa Kipra .",O O O O O O O O O B-LOC O
"Jugoslavija se kvalificirala na Evropsko prvenstvo sveukupnim rezultatom 3 – 1 .",B-ORG O O O B-ORG I-ORG O O O O O O
"Ovom tehnikom koristio se , između ostalih , i Gari Kasparov u svojim partijama i većinom bi izašao bolji na kraju .",O O O O O O O O O B-PER I-PER O O O O O O O O O O O
"i prešao u Banja Luku .",O O O B-LOC I-LOC O
"Petrinja",B-LOC
"Manchester United FC ( pobjednik u grupi B )",B-ORG I-ORG I-ORG O O O O O O
"Fernando Alonso",B-PER I-PER
"PREUSMJERI KK Bosna Royal",O B-ORG I-ORG I-ORG
"4 Real Sociedad je igrao pod tadašnjim imenom Donostia CF .",O B-ORG I-ORG O O O O O B-ORG I-ORG O
"Preusmjeri Even in the Quietest Moments ( album )",O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG
"Time ( grupa )",B-ORG I-ORG I-ORG I-ORG
"Stručno se usavršavao u Poljskoj i Češkoj .",O O O O B-LOC O B-LOC O
"Cesarica , Oliver Dragojević",O O B-PER I-PER
"Neil Armstrong ( 2 ) , komandir",B-PER I-PER O O O O O
"PREUSMJERI Vijeće sigurnosti Ujedinjenih nacija",O B-ORG I-ORG I-ORG I-ORG
"PREUSMJERI Stadion El Teniente",O B-ORG I-ORG I-ORG
"Akademija nauka i umjetnosti Bosne i Hercegovine",B-LOC I-LOC I-LOC I-LOC I-LOC I-LOC I-LOC
"Stanislas Wawrinka",B-PER I-PER
"Carlos Moyá",B-PER I-PER
"Fiorentina pobjednik sveukupnim rezultatom 2–1 .",B-ORG O O O O O
"Sljedećih godina je , najvjerovatnije , sa sultanovom vojskom u Srednjoj Evropi , ali o tome nema sigurnih podataka .",O O O O O O O O O O B-LOC I-LOC O O O O O O O O
"Caroline Wozniacki",B-PER I-PER
"Mirakul , Gibonni",O O B-PER
"Vremenom su došli u Beleriand .",O O O O B-ORG O
"Goce Delčev , Bugarska",B-LOC I-LOC O B-LOC
"Gustoća naseljenosti u Loparu je 0 stanovnika / km2 .",O O O B-LOC O O O O O O
"Poštovana je na Kreti gdje je spasila Zeusa od njegovog oca i svog muža Krona .",O O O B-LOC O O O B-PER O O O O O O B-PER O
"Detroit Pistons",B-ORG I-ORG
"SAD ( 41,000,000 )",B-LOC O O O
"Mogulsko carstvo - 5 miliona km2",B-LOC I-LOC O O O O
"preusmjeri Amadej , kralj Španije",O B-PER I-PER I-PER I-PER
"Independent Women Part I",B-ORG I-ORG I-ORG I-ORG
"John Densmore - bubnjar",B-PER I-PER O O
"Grad je izabran za Evropski glavni grad kulture za 2014. godinu .",O O O O B-ORG I-ORG I-ORG I-ORG O O O O
"Preusmjeri Evropski put E60",O B-ORG I-ORG I-ORG
"Takmiči se u Premijer ligi Irske .",O O O B-ORG I-ORG I-ORG O
"Kao mladić je posjećivao Pariz , tada prijestolnicu civiliziranog svijeta .",O O O O B-LOC O O O O O O
"PREUSMJERI Crkva svetog Josipa ( Sarajevo )",O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG
"Spisak općina u Hrvatskoj",B-LOC I-LOC I-LOC I-LOC
"1984. u finalu gubi od Kasparova 8,5:4,5 .",O O O O O B-PER O O
"Prema savremenim istraživanjima , muškarci dominiraju društvima širom Melanezije ( mada poneki vjeruju da vračare imaju posebnu moć ) .",O O O O O O O O B-LOC O O O O O O O O O O O
"Fondacija promovira proces evropske integracije pružajući platformu za razmjenu ideja , znanja i inicijativa .",O O O B-ORG I-ORG O O O O O O O O O O
"30. maj 1913. godine )",B-LOC I-LOC O O O
"preusmjeri Dobrič ( Široki Brijeg )",O B-LOC I-LOC I-LOC I-LOC I-LOC
"Irska sveukupni pobjednik rezultatom 3–2 .",B-ORG O O O O O
"preusmjeri Tvrtko I , kralj Bosne",O B-PER I-PER I-PER I-PER I-PER
"Preusmjeri Anatomski moderni čovjek",O B-ORG I-ORG I-ORG
"Eintracht Frankfurt ( 160 )",B-ORG I-ORG O O O
"Ova raketa krstari na visini od 15 km brzinom od 0,75 maha .",O O O O O O O O O O O B-ORG O
"Preusmjeri Marilyn Manson ( grupa )",O B-ORG I-ORG I-ORG I-ORG I-ORG
"Preusmjeri Košarkaška reprezentacija Turske",O B-ORG I-ORG I-ORG
"Rubens Barrichello",B-PER I-PER
"godine kao kandidat Hrvatske demokratske zajednice izabran u Hrvatski sabor , iz kojeg se uskoro povukao .",O O O B-ORG I-ORG I-ORG O O B-ORG I-ORG O O O O O O O
"Hamburg ( Drugoplasirani u grupi C )",B-ORG O O O O O O
"Real Sociedad",B-ORG I-ORG
"preusmjeri Papa Aleksandar VI",O B-PER I-PER I-PER
"Za Spartu nije nastupao u prvenstvenim utakmicama .",O B-ORG O O O O O O
"Brazil se povukao prije početka turnira .",B-ORG O O O O O O
"PREUSMJERI Claus von Stauffenberg",O B-PER I-PER I-PER
"Bruno Senna",B-PER I-PER
"Athenian League",B-ORG I-ORG
"Na Evropskom prvenstvu 2008 .",O B-ORG I-ORG I-ORG O
"Spisak općina u Hrvatskoj",B-LOC I-LOC I-LOC I-LOC
"Rob Gardner ( Guns N Roses )",B-PER I-PER O B-ORG I-ORG I-ORG O
"PREUSMJERI Rukometna reprezentacija Kine",O B-ORG I-ORG I-ORG
"Jenson Button",B-PER I-PER
"Preusmjeri Katarina II , carica Rusije",O B-PER I-PER I-PER I-PER I-PER
"Danska , Švedska , Finska , Norveška , Island",B-LOC O B-LOC O B-LOC O B-LOC O B-LOC
"PREUSMJERI Margareta Terezija Kastiljska",O B-PER I-PER I-PER
"Preusmjeri Seongbuk ( Seoul )",O B-LOC I-LOC I-LOC I-LOC
"Panama City , Panama",B-LOC I-LOC O B-LOC
"Ostravu nastanjuje nešto više od 310 hiljada stanovnika , što ju čini trećim gradom poslije Praga i Brna po veličini u ČR .",O O O O O O O O O O O O O O O B-LOC O B-LOC O O O B-LOC O
"Gaël Monfils",B-PER I-PER
"Sreće se u vrijeme Johanna Sebastiana Bacha kao komad veselog karaktera .",O O O O B-PER I-PER I-PER O O O O O
"Mark Webber - no.14",B-PER I-PER O O
"Čečenija ( Чеченская Республика )",B-LOC O O O O
"Preusmjeri Publije Kornelije Tacit",O B-PER I-PER I-PER
"U toj godini , Roma je otkupila njegov ugovor za oko 20 miliona € .",O O O O B-ORG O O O O O O O O O O
"Jugoslavenski partizani koristili su nekoliko verzija .",B-PER I-PER O O O O O
"godine konačno je rodila dijete , i to sina Franju .",O O O O O O O O O B-PER O
"Poslije je bio pod vlašću Osmanlija .",O O O O O B-LOC O
"Helsinki",B-LOC
"Bio je uticajan na njegove nasljednike kao što su Joseph Haydn , Wolfgang Amadeus Mozart i Ludwig van Beethoven .",O O O O O O O O O B-PER I-PER O B-PER I-PER I-PER O B-PER I-PER I-PER O
"Te aktivnosti se organizuju u saradnji sa brojnim institucijama Univerziteta u Sarajevu , ali i sa uglednim međunarodnim centrima .",O O O O O O O O O B-ORG I-ORG I-ORG O O O O O O O O
"Bohemian Rhapsody – 5:57",B-ORG I-ORG O O
"Seldžučki sultanat - 3,9 miliona km2",B-ORG I-ORG O O O O
"preusmjeri Vilim I , kralj Engleske",O B-PER I-PER I-PER I-PER I-PER
"U januaru 2012. godine prelazi u VfB Stuttgart za 4,5 € miliona .",O O O O O O B-ORG I-ORG O O O O O
"Preusmjeri Ratno vazduhoplovstvo i protivvazdušna odbrana SFRJ",O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG
"Japanci",B-LOC
"Obrovac ( Hrvatska ) , grad u Zadarskoj županiji",B-LOC I-LOC I-LOC I-LOC O O O B-LOC I-LOC
"Hakasija ( Республика Хакасия )",B-LOC O O O O
"Nakon nekoliko decenija , Beren , sin Barahirov , je došao da moli za pomoć kralja Finoroda .",O O O O B-PER O O O O O O O O O O O O O
"*Nisi ti bio za mene - Neda Ukraden",O O O O O O B-PER I-PER
"Podebljani vozač je i dalje aktivan u takmičenju Formule 1 .",O O O O O O O O B-ORG I-ORG O
"Pelagije",I-PER
"Glavni grad , Tirana , ima specijalan status .",O O O B-LOC O O O O O
"Od 1857. do 1880. podaci su sadržani u naselju Korenica .",O O O O O O O O O B-LOC O
"Titulu je osvojio Sunderland , dok je drugoplasirani bio Preston North End sa pet bodova zaostatka .",O O O B-ORG O O O O O B-ORG I-ORG I-ORG O O O O O
"Ivan Šuker , ministar financija Republike Hrvatske",B-PER I-PER O O O O O
"Spisak općina u Hrvatskoj",B-LOC I-LOC I-LOC I-LOC
"Felipe Massa",B-PER I-PER
"Kimi Räikkönen",B-PER I-PER
"Njena sestra je bila Irena Paleolog , carica Bugarske .",O O O O B-PER I-PER I-PER I-PER I-PER O
"Mongolsko carstvo - 33,2 miliona km2",B-ORG I-ORG O O O O
"Na teritoriji otprilike veličine Zapadne Evrope nastanjeno je svega 29.300 ljudi .",O O O O B-LOC I-LOC O O O O O O
"Mark Webber",B-PER I-PER
"Ubrzo prelazi u NK Bosnu iz Visokog gdje ostaje dvije godine .",O O O B-ORG I-ORG O B-LOC O O O O O
"Die Linke 5 ( 1.820 glasova ili 12,50 % )",B-ORG I-ORG O O O O O O O O
"Zdravko Čolić – Sinoć nisi bila tu",B-PER I-PER O O O O O
"Američke snage ušle u Bagdad .",B-LOC O O O B-LOC O
"B - Gilbert Arenas , Washington Wizards",O O B-PER I-PER O B-ORG I-ORG
"Tiberije , iskreno prezirali .",B-PER O O O O
"33 ekipe iz Evrope ,",O O O B-ORG O
"Nico Rosberg",B-PER I-PER
"Mark Webber",B-PER I-PER
"S tom tezom slaže se i Milton Friedman .",O O O O O O B-PER I-PER O
"Sankt Peterburg , Rusija",B-LOC I-LOC O B-LOC
"Nalazi se na samoj granici sa Bosnom i Hercegovinom .",O O O O O O B-LOC I-LOC I-LOC O
"Takmiči se u Premijer ligi Irske .",O O O B-ORG I-ORG I-ORG O
"Spisak općina u Hrvatskoj",B-LOC I-LOC I-LOC I-LOC
"Rođena je 16.02.1969. godine u Visokom .",O O O O O B-LOC O
"PREUSMJERI Moonshine ( Bruno Mars )",O B-ORG I-ORG I-ORG I-ORG I-ORG
"Borussia Dortmund ( 2 .",B-ORG I-ORG O O O
"Free as a Bird-4:45",B-ORG I-ORG I-ORG I-ORG
"godine po projektu arhitekte Ivana Štrausa .",O O O O B-PER I-PER O
"Naslijedio je svog rođaka i punca Luja XII koji je umro bez muškog nasljednika .",O O O O O O B-PER I-PER O O O O O O O
"77226 - Ćoralići , BH Pošta",O O B-LOC O O O
"PREUSMJERI Karanovac ( Bosansko Petrovo Selo )",O B-LOC I-LOC I-LOC I-LOC I-LOC I-LOC
"Athletic Bilbao - Real Betis",B-ORG I-ORG O B-ORG I-ORG
"godine , naselje je ukinuto i pripojeno naselju Bribir .",O O O O O O O O B-LOC O
"Dvojica najmoćnijih su bili Saruman i Gandalf .",O O O O B-PER O B-PER O
"Drugo mjesto je osvojila Gana a treće Egipat .",O O O O B-ORG O O B-ORG O
"25 – Gail Goodrich , bek ( 1965–68 , 1970–76 )",O O B-PER I-PER O O O O O O O
"Jarno Trulli - no.9",B-PER I-PER O O
"Sulejman ( islam )",B-PER I-PER I-PER I-PER
"Engleska pobjednik sveukupnim rezultatom 3–1 .",B-ORG O O O O O
"PREUSMJERI Vilim III , kralj Engleske",O B-PER I-PER I-PER I-PER I-PER
"Budva , Crna Gora",B-LOC O B-LOC I-LOC
"Afrički kup nacija 2013 - grupa C",B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG
"1610. se preseljava u Torino u funkciji vojvodinog sekretara .",O O O O B-LOC O O O O O
"Zvjezdane staze : Sljedeća generacija",B-ORG I-ORG I-ORG I-ORG I-ORG
"30 San Pedro de la Paz",O B-LOC I-LOC I-LOC I-LOC I-LOC
"PREUSMJERI Stuart ( dinastija )",O B-ORG I-ORG I-ORG I-ORG
"Prvi pomen grada pod imenom Bosanska Dubica .",O O O O O B-LOC I-LOC O
"Titulu je branio i odbranio Novak Đoković , koji je drugu godinu uzastopno u finalu savladao Rogera Federera , ovog puta 3-1 .",O O O O O B-PER I-PER O O O O O O O O O B-PER I-PER O O O O O
"Smatra se da je direktni potomak Garcilasa de la Vege .",O O O O O O B-PER I-PER I-PER I-PER O
"Preusmjeri Evropsko prvenstvo u košarci",O B-ORG I-ORG I-ORG I-ORG
"Prvobitni ugovor s HBO-om bio je u trajanju od dvije godine s mogućnosti produženja .",O O O B-ORG O O O O O O O O O O O
"Međutim prilikom premijernog emitiranja na Face TV-u , ova epizoda je sadržavala naziv .",O O O O O B-ORG I-ORG O O O O O O O
"PREUSMJERI Bijelo dugme ( album )",O B-ORG I-ORG I-ORG I-ORG I-ORG
"Preusmjeri Fra Grga Martić",O B-PER I-PER I-PER
"Centralna Anadolija - İç Anadolu Bölgesi",B-LOC I-LOC O O O O
"Rusko carstvo - 24,8 miliona km2",B-LOC I-LOC O O O O
"CSI : Las Vegas",B-ORG I-ORG I-ORG I-ORG
"Na Općim izborima u Bosni i Hercegovini 2014 . godine kandidat je",O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG O O O
"Blanka Vlašić1,97 m =MR , =SB",B-PER I-PER O O O O
"Iste godine mobilisan je u austrijsku vojsku , ali je nastavio da slika brzim tempom .",O O O O O B-LOC O O O O O O O O O O
"Farska ostrva ( 112 )",B-ORG I-ORG O O O
"Boston Celtics",B-ORG I-ORG
"dr. Mladen Stojanović ( 1896-42 .",B-PER I-PER I-PER O O O
"Aleksandar Veliki vukao je po svojoj majci porijeklo od Eaka .",B-PER I-PER O O O O O O O O O
"Šemsa Suljaković , pjevačica",B-PER I-PER O O
"bio je na audiciji za ulogu Clarka Kenta u Supermanu ;",O O O O O O B-PER I-PER O B-PER O
"godine je objavljena na kompilaciji Queen Rocks .",O O O O O B-ORG I-ORG O
"Timo Glock vozač za testiranje",B-PER I-PER O O O
"Obavljao je i funkciju člana Predsjedništva Bosne i Hercegovine na koju je dao ostavku .",O O O O O B-ORG I-ORG I-ORG I-ORG O O O O O O
"IFK Göteborg ( 13 )",B-ORG I-ORG O O O
"Kompozicija Sergeja Rahmanjinova može se čuti na koncertu u salonu kada je Komarovski pozvao doktora .",O B-PER I-PER O O O O O O O O O O O O O
"Preusmjeri Košarkaška reprezentacija Urugvaja",O B-ORG I-ORG I-ORG
"u Firenci ( današnja Italija ) .",O B-LOC O O B-LOC O O
"Paul Newman - Hud",B-PER I-PER O B-PER
"1595–1596 ) pisac William Shakespeare",O O O B-PER I-PER
"25px]] Nagorni Karabah",O B-LOC I-LOC
"Joseph Fourier ( 1768–1830 )",B-PER I-PER O O O
"u venecijanskoj operi ( La Favorite od Gaetano Donizetti ) .",O O O O O O O B-PER I-PER O O
"Krajem 1942. javno je pohvaljen od strane Josipa Broza Tita .",O O O O O O O B-PER I-PER I-PER O
"Odlučio je da neće predati prijestolje te je zamrzio Gandalf .",O O O O O O O O O B-PER O
"godini , kada ga je predložio Dalton .",O O O O O O B-PER O
"Ilija Katić , nogometaš",B-PER I-PER O O
"Džin ( islam )",B-PER I-PER I-PER I-PER
"Preusmjeri Kotezi ( Bugojno )",O B-LOC I-LOC I-LOC I-LOC
"Bočac , Banja Luka",B-LOC O B-LOC I-LOC
"Trenutno se takmiči u Prvoj ligi Federacije Bosne i Hercegovine .",O O O O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG O
"godine pogledati pod Ogulin .",O O O B-LOC O
"Japanci obavljaju šesti uspješni uspon .",B-LOC O O O O O
"Prije uvođenja poštanskih maraka u Maroku , korištena su izdanja privatnih pošta .",O O O O O B-LOC O O O O O O O
"Fernando Alonso",B-PER I-PER
"Dračevica]] Nerežišća",O B-LOC
"Ona mu je rodila sina , Napoleona II .",O O O O O O B-PER I-PER O
"Prvu utakmicu je igrala protiv Škotske .",O O O O O B-ORG O
"godine kada je preminuo Teodorik IV , njegov kraljevski prethodnik .",O O O O B-PER I-PER O O O O O
"PREUSMJERI Luj XII , kralj Francuske",O B-PER I-PER I-PER I-PER I-PER
"Vrbanja ( rijeka )",B-LOC I-LOC I-LOC I-LOC
"preusmjeri Petar I , car Rusije",O B-PER I-PER I-PER I-PER I-PER
"Steve McQueen je dobio ponudu da glumi u ovom filmu .",B-PER I-PER O O O O O O O O O
"Miloš Krasić",B-PER I-PER
"Andy Murray ( 2008–2009 )",B-PER I-PER O O O
"Šentilj v Slovenskih goricah , naselje i sjedište općine Šentilj , regija Podravska",B-LOC I-LOC I-LOC I-LOC O O O O O B-LOC O O B-LOC
"Preusmjeri Pridnjestrovska Moldavska Republika",O B-LOC I-LOC I-LOC
"Danska , Norveška i Švedska u Kalmarsku uniju .",B-LOC O B-LOC O B-LOC O B-LOC I-LOC O
"sjedište joj se nalazi u Beču .",O O O O O B-LOC O
"općina / grad Bruxelles ( 2 ) ,",O O O B-LOC O O O O
"Lazina Čička , naselje grada Velike Gorice , Zagrebačka županija",B-LOC I-LOC O O O B-LOC I-LOC O B-LOC I-LOC
"PREUSMJERI Svemirski centar Johnson",O B-ORG I-ORG I-ORG
"Daniel Ricciardo",B-PER I-PER
"Ovaj objekat je zapisao Edward Emerson Barnard .",O O O O B-PER I-PER I-PER O
"Svjetsko prvenstvo u nogometu 2002 .",B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG
"preusmjeri Tvrtko II , kralj Bosne",O B-PER I-PER I-PER I-PER I-PER
"PREUSMJERI Integrated Drive Electronics",O B-ORG I-ORG I-ORG
"Islamsko osvojanje Perzije je dovelo do pada Sasanidskog carstva .",O O B-LOC O O O O B-LOC I-LOC O
"1 Pobjednik četvrtfinala je odlučen u trećoj utakmici gdje je Mađarska sveukupnim rezultatom 5-4 pobijedila Rumuniju .",O O O O O O O O O O B-ORG O O O O B-ORG O
"Rezultatom 0:1 bila je bolja Argentina .",O O O O O B-ORG O
"IFK Göteborg ( 3 )",B-ORG I-ORG O O O
"Dragan Jović ( 2013–2014 )",B-PER I-PER O O O
"Akadsko carstvo - 650.000 km2",B-LOC I-LOC O O O
"Bila je to treća titula tima sa iz Londona Na dugom mjestu je bio Manchester United sa osam bodova zaostatka .",O O O O O O O O B-LOC O O O O O B-ORG I-ORG O O O O O
"Utočište za ludake Atina",B-ORG I-ORG I-ORG I-ORG
"Nico Rosberg",B-PER I-PER
"Bijeljina je grad , naselje i općina koja se nalazi u sjeveroistočnom dijelu Bosne i Hercegovine .",B-LOC O O O O O O O O O O O O B-LOC I-LOC I-LOC O
"Nelson Piquet , Jr . vozač za testiranje",B-PER I-PER I-PER I-PER I-PER O O O
"PREUSMJERI Sekst Julije Frontin",O B-PER I-PER I-PER
"Većina boraca je bila sa područja Kalesije .",O O O O O O B-LOC O
"Denver Nuggets ( 8 )",B-ORG I-ORG O O O
"U finalu su poraženi od tada neprikosnovenog Urugvaja .",O O O O O O O B-ORG O
"PREUSMJERI Jakov V , kralj Škota",O B-PER I-PER I-PER I-PER I-PER
"Eventualno je prodano oko 7 miliona primjeraka u Sjedinjenim Američkim Državama .",O O O O O O O O B-LOC I-LOC I-LOC O
"Akademija nauka i umjetnosti Republike Srpske",B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG
"U 1921. i 1931. podaci su sadržani u naselju Kneževi Vinogradi .",O O O O O O O O O B-LOC I-LOC O
"godine , jedna od najpopularnijih u Hrvatskoj i u bivšoj Jugoslaviji .",O O O O O O B-LOC O O O B-LOC O
"Tri minute kasnije Edin Džeko je postavio konačan rezultat utakmice .",O O O B-PER I-PER O O O O O O
"Medalja Vermilion u oblasti fizičkog odgoja i sporta od Alberta II , kneza Monaka",O O O O O O O O O B-PER I-PER I-PER I-PER I-PER
"Evropski sud za ljudska prava",B-ORG I-ORG I-ORG I-ORG I-ORG
"Upravno je središte grofovije Nottinghamshire .",O O O O B-LOC O
"Preusmjeri Andorra la Vella",O B-LOC I-LOC I-LOC
"Italijani ( Milano )",B-LOC O B-LOC O
"Patrick Friesacher - no.20",B-PER I-PER O O
"Glavno sjedište ove grupe bio je Lyon .",O O O O O O B-LOC O
"Vas ( čvor )",B-ORG I-ORG I-ORG I-ORG
"Australija",B-LOC
"godine , njen ubrzan razvoj industrijskaeekonomije je nadmašio britansku , omogućavajući pomorsku trku i agresivnu vanjsku politiku .",O O O O O O O O B-LOC O O O O O O O O O
"PREUSMJERI Trava ( serija )",O B-ORG I-ORG I-ORG I-ORG
"Italija",B-LOC
"PREUSMJERI Njemačka demokratska republika",O B-LOC I-LOC I-LOC
"Italija 1968 .",B-ORG I-ORG I-ORG
"PREUSMJERI Muzej moderne umjetnosti ( New York )",O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG
"Roger Federer",B-PER I-PER
"Edgar Miroljubivi ( Eadgar )",B-PER I-PER O O O
"PREUSMJERI Mohammad Ali Jamalzadeh",O B-PER I-PER I-PER
"Jenson Button",B-PER I-PER
"80px]] Zaragoza",O B-LOC
"godine u Čileu Argentina je zabilježila skroman učinak , pobjedu ( Bugarska ) , poraz ( Engleska ) te u zadnjem kolu neriješen rezultat ( Mađarska ) nisu bili dovoljni za plasman u četvrtfinale .",O O B-LOC B-LOC O O O O O O O B-ORG O O O O B-ORG O O O O O O O O B-ORG O O O O O O O O O
"Zbog istog broja bodova odigrana je odlučujuća utakmica na neutralnom terenu u Singapuru .",O O O O O O O O O O O O B-LOC O
"Crazy in Love“ ( featuring Jay-Z )",B-ORG I-ORG I-ORG O O B-PER O
"PREUSMJERI Fabiola de Mora y Aragón",O B-ORG I-ORG I-ORG I-ORG I-ORG
"Na Evropskom prvenstvu 1996 .",O B-ORG I-ORG I-ORG O
"Preusmjeri Korneuburg ( okrug )",O B-LOC I-LOC I-LOC I-LOC
"Vransko jezero kod Pakoštana",B-ORG I-ORG I-ORG I-ORG
"Koalicijska intervencija u Libiji",B-ORG I-ORG I-ORG I-ORG
"1979. godine je sa Pistoieseom izborio ulazak u Serie A .",O O O O O O O O B-ORG I-ORG O
"sa stanicom ( Concorde ) .",O O O B-ORG O O
"Graniči na zapadu sa Bangladešom , na sjeverozapadu sa Indijom , na sjeveroistoku sa Kinom , na istoku sa Laosom te na jugoistoku sa Tajlandom .",O O O O B-LOC O O O O B-LOC O O O O B-LOC O O O O B-LOC O O O O B-LOC O
"Jedan od njegovih osnivača bio je Felix Mendelssohn .",O O O O O O B-PER I-PER O
"Cijelu tu sezonu je bio standardan u paru sa Claudio Marchisiom .",O O O O O O O O O B-PER I-PER O
"U 1857. , 1869. , 1921. i 1931. podaci su sadržani u naselju Marina .",O O O O O O O O O O O O O B-ORG O
"PREUSMJERI Henrik II , kralj Engleske",O B-PER I-PER I-PER I-PER I-PER
