sentence,ner
"Боко Харам разом зі своїми двома дітьми , коли вона була вагітна третьою дитиною » .",B-ORG I-ORG O O O O O O O O O O O O O O
"А . Монтедуро нагадав , що один з дітей Ребеки був убитий , потім вона втратила немовля , якого носила в утробі , а пізніше завагітніла знову після одного з численних випадків насильства , якому піддавали її викрадачі .",O O B-PER O O O O O O B-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"12 жовтня 2017 року « Допомога Церкві в нужді » випустила доповідь про сучасні гоніння на християнство , в якому на підставі численних свідчень робиться висновок : сьогодні християни є « найбільш пригнобленою релігійною спільнотою в світі » , а переслідування християн у найбільш проблемних регіонах світу досягли « нового піку » .",O O O O O B-ORG I-ORG I-ORG I-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"У доповіді розглядається становище християн в 13 країнах Африки і Близького Сходу .",O O O O O O O O B-LOC O B-LOC I-LOC O
"Аналітики ACN заявляють , що в цілому за період 2015 - 2017 років , порівняно з попередніми двома роками ситуація щодо християн погіршилася .",O B-ORG O O O O O O O O O O O O O O O O O O O O O O
"« Єдине виключення – Саудівська Аравія , де ситуація була настільки погана , що вона навряд чи могла погіршитися » , – йдеться в доповіді .",O O O O B-LOC I-LOC O O O O O O O O O O O O O O O O O O O O
"В цілому в групі « екстремального » рівня переслідувань християн опинилися Китай , Еритрея , Ірак , Нігерія , Північна Корея , Пакистан , Саудівська Аравія , Судан і Сирія .",O O O O O O O O O O O B-LOC O B-LOC O B-LOC O B-LOC O B-LOC I-LOC O B-LOC O B-LOC I-LOC O B-LOC O B-LOC O
"Єгипет , Індію та Іран експерти віднесли до категорії країн з рівнем антихристиянських настроїв « від високого до екстремального » .",B-LOC O B-LOC O B-LOC O O O O O O O O O O O O O O O O
"Рівень переслідувань християн в Туреччині оцінюється за цією шкалою від помірного до високого » .",O O O O B-LOC O O O O O O O O O O
"Протягом останніх 16 років цей список очолює Північна Корея .",O O O O O O O B-LOC I-LOC O
"Однак експерти попереджають про зростання антихристиянських настроїв у всій Південно - Східній Азії .",O O O O O O O O O B-LOC I-LOC I-LOC I-LOC O
"Брексіту може взагалі не бути - Мей",B-EVT O O O O O B-PER
""" Деякі люди запитують , чи є наша угода про вихід з ЄС тільки відправною точкою , з якої ми почнемо регресувати .",O O O O O O O O O O O O B-ORG O O O O O O O O O O
"Дозвольте мені внести ясність .",O O O O O
"Наша угода про Брексіт - це не якийсь довгий список побажань , з якого учасники переговорів можуть вибирати .",O O O B-EVT O O O O O O O O O O O O O O O
"Це цілісний план з набором результатів , які не підлягають обговоренню "" , - написала Мей .",O O O O O O O O O O O O O O O B-PER O
"Нагадаємо , міністр з питань Brexit і глава МЗС Британії пішли у відставку у понеділок , протестуючи проти плану Терези Мей залишити Британію економічно приєднаною до ЄС .",O O O O O B-EVT O O B-ORG I-ORG O O O O O O O O O B-PER I-PER O B-LOC O O O B-ORG O
"© 2005 - 2018 , Економічна правда .",O O O O O B-ORG I-ORG O
"Використання матеріалів сайту лише за умови посилання ( для інтернет - видань - гіперпосилання ) на "" Економічну правду "" .",O O O O O O O O O O O O O O O O B-PRO I-PRO I-PRO I-PRO O
""" Всі матеріали , які розміщені на цьому сайті із посиланням на агентство "" Інтерфакс - Україна "" , не підлягають подальшому відтворенню та /чи розповсюдженню в будь-якій формі , інакше як з письмового дозволу агентства "" Інтерфакс - Україна "" .",O O O O O O O O O O O O O B-ORG I-ORG I-ORG I-ORG I-ORG O O O O O O O O O O O O O O O O O O B-ORG I-ORG I-ORG I-ORG I-ORG O
"Назва агентства "" Інтерфакс - Україна "" при цьому має бути оформлена як гіперпосилання .",O O B-ORG I-ORG I-ORG I-ORG I-ORG O O O O O O O O
"Матеріали з позначкою PROMOTED , СПЕЦПРОЕКТ , ЗА ПІДТРИМКИ публікуються на правах реклами .",O O O O O O O O O O O O O O
"Експерт : Після « Брекзиту » в європейських країнах притихли спекуляції на тему виходу з ЄС",O O O B-EVT I-EVT I-EVT O O O O O O O O O B-ORG
"Про це в ефірі інформаційно - аналітичного проекту Перші про головне .",O O O O O O O O B-PRO I-PRO I-PRO O
"Коментарі на телеканалі ZIK розповів голова Громадської ліги Україна НАТО Сергій Джердж .",O O O O O O B-ORG I-ORG I-ORG I-ORG B-PER I-PER O
"Він підкреслив , що до Брекзиту багато праворадикальних та популістських партій в європейських країнах агітували за вихід з Європейського Союзу .",O O O O O B-EVT O O O O O O O O O O O O B-ORG I-ORG O
"Це було , наприклад , у Франції , Нідерландах та інших країнах .",O O O O O O B-LOC O B-LOC O O O O
"Але приклад Brexit показує , що це , насправді , послаблює країну економічно .",O O B-EVT O O O O O O O O O O O
"Адже ніхто не збереже для Великої Британії її преференції .",O O O O O B-LOC I-LOC O O O
"І Брюссель вже заявляв , що бізнесу , як це було раніше , більше не буде , розповідає фахівець .",O B-LOC O O O O O O O O O O O O O O O O O O
"За його словами , після Брекзиту будуть введенні мита та податки на британські товари .",O O O O O B-EVT O O O O O O O O O
"Тобто пільгового режиму торгівлі між Об’єднаним Королівством та країнами ЄС більше не буде .",O O O O O B-LOC I-LOC O O B-ORG O O O O
"Це бачать сьогодні і у Франції , і у Нідерландах .",O O O O O B-LOC O O O B-LOC O
"Тому ці голоси на вихід їхніх країн із Європейського Союзу дещо стихають .",O O O O O O O O B-ORG I-ORG O O O
"Євросоюз теж оцінює всі ці процеси і робить висновки з існуючих проблем , каже Сергій Джердж .",B-ORG O O O O O O O O O O O O O B-PER I-PER O
"Окрім цього він зауважив , що популісти , які спекулюють на темі виходу своїх країн із Європейського Союзу , апелюють до декількох тез , першою з яких є міграційні процеси .",O O O O O O O O O O O O O O O O B-ORG I-ORG O O O O O O O O O O O O O
"Ми знаємо , що глобально цьому сприяє війна на Близькому Сході .",O O O O O O O O O B-LOC I-LOC O
"Якби теоретично війна в Сирії припинилась , то , по-перше , потік біженців зменшився б , а по-друге , в певній мірі навіть почався б зворотній процес .",O O O O B-LOC O O O O O O O O O O O O O O O O O O O O O O O
"Тобто частина сирійців повернулась би у свою мирну країну , переконаний експерт .",O O O O O O O O O O O O O
"Так само популісти апелюють до економічних проблем , які виникли у Європі після світової фінансової кризи у 2008 році .",O O O O O O O O O O O B-LOC O O O O O O O O
"Мовляв , вони спекулюють на тому , що в цьому є провина Брюсселя .",O O O O O O O O O O O O B-LOC O
"Але Європейський Союз навпаки в дечому вирівнює різний економічний розвиток регіонів .",O B-ORG I-ORG O O O O O O O O O
"Скажімо , допомагаючи слабшим , можливо , в дечому уповільнюється розвиток сильніших .",O O O O O O O O O O O O O
"Але таким чином Європа стає більш однорідною та успішною , підсумовує голова Громадської ліги Україна НАТО .",O O O B-LOC O O O O O O O O B-ORG I-ORG I-ORG I-ORG O
"19 : 24 У Британії призначили нового міністра з Brexit",O O O O B-LOC O O O O B-EVT
"Новим Великої Британії з виходу держави з Європейського союзу призначили Стівена Барклі , який раніше обіймав посаду в британському Міністерстві охорони здоров'я .",O B-LOC I-LOC O O O O B-ORG I-ORG O B-PER I-PER O O O O O O B-ORG I-ORG I-ORG I-ORG O
"Про це на своїй сторінці в Twitter повідомила прес - служба прем'єр - міністра Сполученого Королівства Терези Мей . "" Королева із задоволенням схвалила призначення Стівена Барклі на посаду міністра по виходу з Європейського союзу "" , - йдеться в повідомленні .",O O O O O O B-PRO O O O O O O O B-LOC I-LOC B-PER I-PER O O O O O O O B-PER I-PER O O O O O O B-ORG I-ORG O O O O O O O
"The Queen has been pleased to approve the appointment of Stephen Barclay MP @ SteveBarclay to be Secretary of State for Exiting the European Union @DExEUgov — UK Prime Minister ( @10DowningStreet )",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"На посади Барклі замінить Домініка Раабе , який пішов у відставку через розбіжності щодо проекту угоди з Brexit .",O O B-PER O B-PER I-PER O O O O O O O O O O O B-EVT O
"Читайте також :",O O O
"Мей можуть висловити недовіру 20 листопада 15 листопада чотири британських міністри подали у відставку через угоду щодо Brexit .",B-PER O O O O O O O O O O O O O O O O B-EVT O
"З посад пішли міністр юстиції Раніл Джаявардена , міністр у справах Північної Ірландії Шейлеш Вара , міністр щодо Brexit Домінік Рааб і міністр праці і у справах пенсій Естер Маквей .",O O O O O B-PER I-PER O O O O B-LOC I-LOC B-PER I-PER O O O B-EVT B-PER I-PER O O O O O O O B-PER I-PER O
"Парламентери щодо Brexit Євросоюзу та Великої Британії 13 листопада погодили текст угоди .",O O B-EVT B-LOC O B-LOC I-LOC O O O O O O
"Основний документ становить 585 сторінок .",O O O O O O
"Угода передбачає "" м'який "" сценарій виходу Британії з ЄС .",O O O O O O O B-LOC O B-LOC O
"Раніше повідомлялося , що 11 з 25 міністрів уряду Мей виступили проти її плану Brexit .",O O O O O O O O O B-PER O O O O B-EVT O
"Через Brexit у відставку пішли вже кілька британських міністрів , в тому числі головний парламентер щодо виходу Британії і глава МЗС Борис Джонсон - прибічники "" жорсткого "" Brexit , у той час як прем'єр Тереза Мей надала перевагу "" м'якому "" виходу королівства з ЄС .",O B-EVT O O O O O O O O O O O O O O O B-LOC O O B-ORG B-PER I-PER O O O O O B-EVT O O O O O O B-PER I-PER O O O O O O O O B-LOC O
"Нагадаємо , 12 липня уряд Мей представило . Мінфін Британії передбачив понад трьох мільярди доларів , прораховуючи різні сценарії Brexit .",O O O O O B-PER O O B-ORG I-ORG O O O O O O O O O B-EVT O
"Новим міністром Великої Британії у Brexit призначили чиновника МОЗ",O O B-LOC I-LOC O B-EVT O O B-ORG
"Новим міністром Великої Британії у Brexit став Стівен Барклі , повідомили у п'ятницю в уряді країни .",O O B-LOC I-LOC O B-EVT O B-PER I-PER O O O O O O O O
""" Королева була рада схвалити призначення Стівена Барклі на посаду міністра із виходу з Європейського союзу "" , - йдеться в повідомленні , опублікованому на офіційній сторінці британського уряду в Twitter .",O O O O O O B-PER I-PER O O O O O O B-ORG I-ORG O O O O O O O O O O O O O O B-PRO O
"На цій посаді він замінив Домініка Рабе , який пішов з посади через розбіжності щодо проекту Brexit угоди .",O O O O O B-PER I-PER O O O O O O O O O B-EVT O O
"С . Барклі досі обіймав посаду в міністерстві охорони здоров'я Великобританії .",B-PER I-PER I-PER O O O O B-ORG I-ORG I-ORG I-ORG O
"Новим міністром Великої Британії у Brexit призначили Стівена Барклі",O O B-LOC I-LOC O B-EVT O B-PER I-PER
"Новим міністром Великої Британії у Brexit став Стівен Барклі , повідомили в п'ятницю в уряді .",O O B-LOC I-LOC O B-EVT O B-PER I-PER O O O O O O O
""" Королева була рада схвалити призначення Стівена Барклі на посаду міністра із виходу з Європейського союзу "" , - йдеться в повідомленні , опублікованому на офіційній сторінці британського уряду в Twitter .",O O O O O O B-PER I-PER O O O O O O B-ORG I-ORG O O O O O O O O O O O O O O B-PRO O
"На цій посаді він замінив Домініка Рабе , який пішов з посади через розбіжності щодо проекту угоди з Brexit .",O O O O O B-PER I-PER O O O O O O O O O O O B-EVT O
"Окрім того , в уряд повернулася Ембер Рад , яка пішла в квітні з посади міністра внутрішніх справ .",O O O O O O B-PER I-PER O O O O O O O O O O O
"Тепер вона зайняла пост міністра праці і пенсійного забезпечення , який раніше покинула через угоду Brexit Естер Маквей .",O O O O O O O O O O O O O O O B-EVT B-PER I-PER O
"С . Барклі досі займав посаду в міністерстві охорони здоров'я Великої Британії .",B-PER I-PER I-PER O O O O B-ORG I-ORG I-ORG I-ORG I-ORG O
"Членом британського парламенту С . Барклі став у 2010 році , перед роботою в міністерстві охорони здоров'я він займав в уряді посади , пов'язані з фінансами .",O O O B-PER I-PER I-PER O O O O O O O O O O O O O O O O O O O O O
"С . Барклі , член Консервативної партії , виступав за вихід Великої Британії з ЄС . "" Бі-бі - сі "" описує С . Барклі як "" надлояльного "" політика , який ніколи не виступав проти уряду консерваторів .",B-PER I-PER I-PER O O B-ORG I-ORG O O O O B-LOC I-LOC O B-LOC O O O O O O O B-PER I-PER I-PER O O O O O O O O O O O O O O
"Британські журналісти відзначають , що С . Барклі не має широкої популярності у Великій Британії , як і значного політичного впливу .",O O O O O B-PER I-PER I-PER O O O O O B-LOC I-LOC O O O O O O O
"Прем'єр - міністр Великої Британії Тереза Мей має намір самостійно займатися переговорами з Брюсселем в останні 10 днів перед ключовим самітом ЄС , зазначають ЗМІ з посиланням на Даунінг - стрит .",O O O B-LOC I-LOC B-PER I-PER O O O O O O B-LOC O O O O O O O B-LOC O O O O O O B-LOC I-LOC I-LOC O
"Завданням С . Барклі , пояснили на Даунінг - стрит , буде внутрішня підготовка Британії в цілому і парламенту зокрема для Brexit .",O B-PER I-PER I-PER O O O B-LOC I-LOC I-LOC O O O O B-LOC O O O O O O B-EVT O
"Британський кабінет міністрів 14 листопада погодив 585-сторінковий проект угоди щодо виходу Великої Британії зі складу ЄС .",B-ORG I-ORG I-ORG O O O O O O O O B-LOC I-LOC O O B-LOC O
"За словами Т . Мей , узгоджена нею угода відповідає усім вимогам британців на референдумі : повертає Великій Британії контроль над своїми видатками , законами і кордонами , а також припиняє вільне переміщення , захищає робочі місця і забезпечує безпеку .",O O B-PER I-PER I-PER O O O O O O O O O O O O B-LOC I-LOC O O O O O O O O O O O O O O O O O O O O O O
"Підписувати остаточну угоду про вихід Великої Британії з ЄС сторони , як очікується , будуть на саміті ЄС 25 листопада .",O O O O O B-LOC I-LOC O B-LOC O O O O O O O O B-LOC O O O
"Проект угоди , незважаючи на підтримку з боку уряду , був сприйнятий без значного оптимізму як в ЄС , так і у Великій Британії .",O O O O O O O O O O O O O O O O O B-LOC O O O O B-LOC I-LOC O
"Так , глава Євроради Дональд Туск у четвер заявив , що не може оптимістично сприйняти позицію Т . Мей з приводу проекту угоди щодо Brexit .",O O O B-ORG B-PER I-PER O O O O O O O O O O B-PER I-PER I-PER O O O O O B-EVT O
